発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (DX0edaiXPerNsXtz) の解答,評価,,,
1-1-1,データと情報の違いは何ですか,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,記述,データは事象や現象を数字や文字で記号化したもの、情報は意味や価値が付加されたデータやメッセージ,正解 : 7,,,
1-1-2,情報の特性はどのようなものが挙げられますか,情報の特性は形がない、消えない、複製できる、容易に伝播することである,記述,形がない、消えない、簡単に複製できる、容易に伝播する,正解 : 7,,,
1-1-3,問題解決における問題とは何ですか,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,記述,あるべき姿と現実とのギャップ、解決や解消を必要とする状況,正解 : 7,,,
1-1-4,アイデアを生み出す手法であるブレーンストーミングのルールはどのようなものが挙げられますか,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,表,質より量、制約を設けない、便乗の奨励、批判の禁止,正解 : 7,,,
1-1-5,アイデアを整理する手法はどのようなものがありますか,アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ,図,KJ法、コンセプトマップ、ロジックツリー、座標軸等,正解 : 7,,,
1-2-1,サイバー犯罪にはどのような区分がありますか,コンピュータやサービスなどに他人のIDやパスワードを使ってアクセスする不正アクセス、ホームページや取引記録などを不正に 書き換えるコンピュータ・電磁的記録対象犯罪、SNSや掲示板などを用いて犯罪行為を行うネットワーク利用犯罪がある ,図,不正アクセス禁止法違反、コンピュータ・電磁的記録対象犯罪等、ネットワーク利用犯罪,不十分 : 3,,,
1-2-2,サイバー犯罪の特徴は何ですか,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,箇条書き,匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がない,正解 : 7,,,
1-2-3,情報システムに情報セキュリティの3要素を組み込む場合、どのようなことを考慮すれば良いですか,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,記述,セキュリティレベルの高さだけでなく、導入コストや運用コストとのトレードオフを考慮する,正解 : 7,,,
1-2-4,情報セキュリティには機密性、完全性、可用性のほかにどのような要素がありますか,アクセスしている個人が正しく特定できることである真正性、意図したことが確実に実行できる信頼性、いつどこで誰がどのよう な操作を行なったか追跡できる責任追跡性、情報が後に否定されないことを証明する否認防止がある ,図,真正性、責任追跡性、信頼性、否認防止,異なる修飾 : 6,,,
1-2-5,マルウェアとは何ですか,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,記述,コンピュータに入り込んで不正行為を行う悪意のあるプログラム,正解 : 7,,,
