発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (nUDPGUsLdf7Bh3zG) の解答,評価,,,
3-13-1,アルゴリズムとプログラムの違いは何ですか,アルゴリズムは問題を解決するための方法や手順のことで、アルゴリズムをコンピュータが実行できる形式にしたものがプログラ ムである ,記述,問題解決のための方法、手順がアルゴリズム。それをコンピュータの理解できる形式で表したものがプログラムである。,正解 : 7,,,
3-13-2,アルゴリズムの基本構造のひとつである反復とはどのような処理ですか,反復はある条件が満たされている間はその処理を繰り返し実行する手順である,箇条書き,同じ処理を繰り返し実行する処理,異なる修飾 : 6,,,
3-13-3,アルゴリズムの基本構造のひとつである分岐とはどのような処理ですか,分岐はある条件に応じて異なる処理を実行するものである,表,条件が真か偽かによって実行する内容が変わる処理,異なる修飾 : 6,,,
3-13-4,分岐と反復の処理を組み合わせたらどのような処理が可能となりますか,繰り返していく中である条件を満たす場合だけ特定の処理を行うことが可能となる,記述,条件が満たされていればループし続け、条件から外れた際にループから抜ける処理が可能となる,異なる修飾 : 6,,,
3-13-5,アルゴリズムをわかりやすく表現するにはどうしたら良いですか,流れ図などを用いて図式化するとわかりやすい,記述,フローチャートなどで直感的にわかるように表現する,正解 : 7,,,
3-14-1,プログラムにおけるリストとはどのようなものですか,リストとは複数の値を1つの名前と番号によって管理する仕組みのことである,記述,文字列、数字などを格納するための場所で変数と添え字で管理されるもの,欠如 : 5,,,
3-14-2,プログラムの中で乱数を用いるとどのような処理が可能となりますか,実行するたびに振る舞いが異なる処理が可能となり、現実世界のシミュレーションなどに活用できる,記述,すべての数字が同じ確率で、ランダムに数字を表示させることなどができる,欠如 : 5,,,
3-14-3,プログラムを記述する際、なぜ関数という仕組みを用いるのですか,システム開発で記述されるプログラムはコードの長さが膨大となるため、関数を用いてプログラムを機能ごとに整理、構造化する ため ,記述,コードの読みやすさや、機能の再利用などが容易になる,欠如 : 5,,,
3-14-4,APIとは何ですか,関数に似たものであり、ボタンを押したらウィンドウが開くなど共通した処理を提供するものである,記述,アプリケーションなどとプログラムをつなぐためのインターフェース,異なる修飾 : 6,,,
3-14-5,WebAPIとは何ですか,インターネット上のサービスやビッグデータへのWeb通信を利用したアクセス機能を提供しているAPIのことである,記述,web上でのAPI,不十分 : 3,,,
