発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (0To0TtlDpCXZ6ox1) の解答,評価,,,
4-19-1,家庭内でLANに接続している機器にはどのようなものがありますか,プリンターやパソコン、スマートフォンがLANに接続している,図,パソコン，タブレット，スマートフォン，プリンタなどの情報機器だけでなく，テレビ，録画用のハードディスクレコーダ，電話，電子レンジなど,正解 : 7,,,
4-19-2,家庭内のLANに対し、外部からの不正な侵入を防ぐにはどのようなことを考慮すれば良いですか,SSIDを公開しないこと、暗号化キーをわかりにくいものにすること、暗号化方式を容易に解読されないものにしなければならない,記述,SSIDは安易に公開せず，適切な暗号化キーを設定すること,欠如 : 5,,,
4-19-3,LANにおいてはどのようなトラブルが生じますか,インターネットに接続できない、無線LANのアクセスポイントに接続できない、電子メールを送信できない、必要なアプリケーシ ョンをダウンロードできない、家庭内のHDDやサーバに接続できない、家庭内のネットワークプリンタに出力できない ,箇条書き,インターネットに接続できない,欠如 : 5,,,
4-19-4,プリンタがネットワークに接続されていない場合は何を点検すれば良いですか,プリンタのLANポートにケーブルが接続されているか、無線LANなら適切なアクセスポイントに接続されているかを点検する,記述,無線ならば，ネットワーク設定が適切か．有線ならば，物理的な接続を点検,正解 : 7,,,
4-19-5,PCから接続されているプリンタを調べるときはどうすれば良いですか,プリンタドライバからLAN上のプリンタの状況を調べる,記述,「デバイスとプリンター」から，接続されている周辺機器を確認する,異なる修飾 : 6,,,
4-20-1,近年の情報システムはどのようなことを重視していますか,蓄積された膨大なビッグデータを課題解決に活用することが重視されている,記述,膨大な量のデータを課題解決に活用すること,異なる修飾 : 6,,,
4-20-2,オープンデータの定義とは何ですか,営利目的、非営利目的問わずに二次利用可能なルールが適応されたもの、機械判読に適したもの、無料で利用できるものが定義で ある ,箇条書き,機械判読に適し，営利目的，非営利目的を問わず二次利用可能なルールが適用された無償で利用できるデータ,正解 : 7,,,
4-20-3,プログラムを用いてデータを活用するにはデータをどのような形式で保持すれば良いですか,機械判読が可能な形式にする,記述,機械判読が可能で，迅速に利用しやすいファイル形式,正解 : 7,,,
4-20-4,データを活用するためには基本的な統計量を求める以外にどのような方法が用いられますか,データを可視化して問題発見や問題解決を行う,記述,，データを可視化することによる問題発見や問題解決,正解 : 7,,,
4-20-5,施設一覧や予算などの表形式になっている情報を活用しやすいファイル形式は何ですか,Excel形式やCSV形式,表,".xlsx, .csv",正解 : 7,,,
4-21-1,リレーショナルデータベースではどのようにデータを管理していますか,表形式で表現されたテーブルというデータの集合で管理されている,記述,表形式で表現されたテーブルというデータの集合,正解 : 7,,,
4-21-2,SQLとは何ですか,リレーショナルデータベースを操作するための言語である,記述,リレーショナルデータベースにおけるデータの操作を行うためのデータベース言語,正解 : 7,,,
4-21-3,離散グラフはどのようなデータの関係性を表す時に用いられますか,SNSでの人の繋がりや鉄道の路線図などの関係を表すときに用いられる,記述,SNS での人のつながりや鉄道の路線などのような関係性,正解 : 7,,,
