発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Vr2HP91stjxKwVNy) の解答,評価,,,
2-7-1,コミュニケーションにはどのような種類がありますか,個人同士で情報をやり取りする対人コミュニケーション、限られた集団でやりとりする集団コミュニケーション、不特定多数でや り取りするマスコミュニケーションがある ,記述,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,異なる修飾 : 6,,,
2-7-2,コミュニケーションを行う上でコード体系とは何ですか,コード体系とは学校や家庭、特定のコミュニティの中での学習によって社会的に共有されているもので、言語、視覚言語、非言語 の分類がある ,記述,言語や視覚言語など、送り手の意図を受け手が理解するために共有されているべきもの。,不十分 : 3,,,
2-7-3,情報のデザインにおいてはどのようなことが重要となりますか,情報のデザインは足し算によって必要な要件を満たした後、引き算によってシンプルにすることが大切である,記述,情報をある基準を用いて整理し、整理された情報同士を結び付けること。,矛盾 : 4,,,
2-7-4,画面内に要素を配置する際のデザインの原則にはどのようなものがありますか,同じまとまりの情報は近づけて、違う要素は離す近接と、要素を揃える整列、見出しやフォーマットを揃える反復、要素ごとの大 小や強弱を明確にする対比がある ,図,並列、順序、分岐、因果、階層,矛盾 : 4,,,
2-7-5,コミュニケーションにおけるメタファーの役割は何ですか,メタファーとは違う分野の言葉を喩えに使って表現する方法であり、特に目には見えないものを伝える際には効果的である,記述,よくわからない物事をすでに知っている似たことに重ね合わせることで推し量ることを可能にする。,不十分 : 3,,,
2-8-1,メディアとは何ですか,メディアとは情報を表現する形式のことであり、情報の伝達や記録のために用いられ、媒体としての役割がある,記述,様々な表現を通じて情報の伝達や記録をする媒体のこと。,不十分 : 3,,,
2-8-2,近年のコミュニケーションではどのようなことが可能となりましたか,情報機器の登場により、様々なデータが大量に通信できるようになり、双方向でのコミュニケーションが可能となった,記述,様々なデータを大量に通信することと、双方向でのコミュニケーション。,異なる修飾 : 6,,,
2-8-3,フィルターバブルとはどのような現象ですか,利用者の嗜好や行動特性に合わせた情報だけが選別され、インターネット上での観測範囲が狭くなる現象,記述,検索アルゴリズムの発達によって、利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象のこと。,正解 : 7,,,
2-8-4,情報が溢れる現代社会において情報を活用するためにどのような能力が必要ですか,現代では情報に振り回されず、情報を取捨選択し整理する能力が必要である。,記述,情報に振り回されず、情報を活用するために必要な情報を取捨選択し、整理する能力。,正解 : 7,,,
2-8-5,画像処理ソフトには大きく分けてどのような種類がありますか,円や長方形などの図形を一つのオブジェクトとして扱うベクタ系と画像を小さな点で描画するラスタ系がある,記述,ベクタ系、ラスタ系,異なる修飾 : 6,,,
2-9-1,デザインにはどのような意味が込められていますか,デザインには計画と達成される目的が込められている,記述,計画と、計画によって達成される目的。,正解 : 7,,,
2-9-2,モダンデザインとは何ですか,モダンデザインとは装飾によるデザインではなく、製品が持つ本質的な機能美を追求した合理的・機能的なデザインのこと,記述,装飾によるデザインから製品が持つ本質的な機能美を追求することで工業製品に取り入れることができる合理的、機能的なデザインのこと。,矛盾 : 4,,,
2-9-3,インフォグラフィックスとは具体的にどんなものですか,インフォグラフィックスとは例えば地域ごとの降水量の情報を傘のイラストの大きさを用いて表した図のようなものである,図,図記号によって情報を伝達するもの。,不十分 : 3,,,
2-9-4,適切なシグニファイアがデザインされたインタフェースはなぜ重要ですか,適切なシグニファイアがデザインされたインタフェースは、利用者のユーザーエクスペリエンスの向上をもたらすため、重要であ る ,記述,利用者が得られる体験の向上をもたらすため。,正解 : 7,,,
2-9-5,人間中心設計はどのようなプロセスでデザインされますか,利用者のニーズを把握し、そのニーズに基づいてデザインを行い、利用者の評価を受けてニーズを完全に満たすまで評価と改善を 繰り返す ,記述,利用者のニーズを把握し、そのニーズに基づいたデザインを行い、利用者の評価を受けて改善を行う。,異なる修飾 : 6,,,
2-10-1,デザインの発想方法にはどのような種類がありますか,発散技法、収束技法、統合技法、態度技法がある,表,発散技法、収束技法、統合技法、態度技法,正解 : 7,,,
2-10-2,デザインのために収集される情報には大きく分けてどのようなものがありますか,結果が数値で得られ比較しやすい定量的な情報と、文字情報で得られ新たな気づきや詳細な状況が探れる定性的な情報がある,記述,定性的な情報と定量的な情報,異なる修飾 : 6,,,
2-10-3,ペルソナ手法とは何ですか,ペルソナ手法とはデザインされた情報の利用者の人物像を設定し、その人物に向けて何が必要かを検討して要件を定義する手法,記述,デザインされた情報の利用者の人物像を設定し、その人物に向けて何が必要かを検討していくこと で要件を定義する手法のこと。,正解 : 7,,,
2-10-4,プロトタイプはどのようなものを作成すれば良いですか,プロトタイプはデザインの可能性を追求するため、時間をかけて作成するのではなく、簡単にできるものを多数用意する,記述,簡単に作成できるもの。,不十分 : 3,,,
2-10-5,情報デザインの評価(インタビューやアンケート)ではどのような工夫をすれば良いですか,インタビューでは回答者が多様な回答ができるオープンクエスチョンとすることやアンケートでは自由に記述された内容に注目す るなど、新たな知見が得られるようにする ,記述,インタビューの場合は「一問一答式のクローズドクエスチョンではなく、回答者が多様な回答ができるオープンクエスチョンで行う」。アンケートの場合は、「自由意見に記入された内容に注目する」,異なる修飾 : 6,,,
