発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Dp36bFnZqcZReeJO) の解答,評価,,,
4-19-1,家庭内でLANに接続している機器にはどのようなものがありますか,プリンターやパソコン、スマートフォンがLANに接続している,図,"パソコン, タブレット, スマートフォン, プリンタ, テレビ, 録画用のハードディスクレコーダー, 電話, 電子レンジ",正解 : 7,,,
4-19-2,家庭内のLANに対し、外部からの不正な侵入を防ぐにはどのようなことを考慮すれば良いですか,SSIDを公開しないこと、暗号化キーをわかりにくいものにすること、暗号化方式を容易に解読されないものにしなければならない,記述,"適当なLANに接続せず, そのLANでどこまで個人的な動きをしてよいのかを判定する.",無関係 : 2,,,
4-19-3,LANにおいてはどのようなトラブルが生じますか,インターネットに接続できない、無線LANのアクセスポイントに接続できない、電子メールを送信できない、必要なアプリケーシ ョンをダウンロードできない、家庭内のHDDやサーバに接続できない、家庭内のネットワークプリンタに出力できない ,箇条書き,"不正に自分の情報機器に侵入され, 情報の不正利用や流出が起こる.",矛盾 : 4,,,
4-19-4,プリンタがネットワークに接続されていない場合は何を点検すれば良いですか,プリンタのLANポートにケーブルが接続されているか、無線LANなら適切なアクセスポイントに接続されているかを点検する,記述,"プリンタの電源が付いているか, インクなどがきれていないか, ",ドメイン外 : 1,,,
4-19-5,PCから接続されているプリンタを調べるときはどうすれば良いですか,プリンタドライバからLAN上のプリンタの状況を調べる,記述,"接続されていない際の点検に加えて, LANの接続設定がしっかり行われているか, 誤りがないかを確認する. ",矛盾 : 4,,,
4-20-1,近年の情報システムはどのようなことを重視していますか,蓄積された膨大なビッグデータを課題解決に活用することが重視されている,記述,蓄積された膨大なデータを課題解決に活用すること.,正解 : 7,,,
4-20-2,オープンデータの定義とは何ですか,営利目的、非営利目的問わずに二次利用可能なルールが適応されたもの、機械判読に適したもの、無料で利用できるものが定義で ある ,箇条書き,"営利目的かどうかに関係なく, 二次利用が可能でかつ機会判読に適しており, 無料で利用できるもの.",欠如 : 5,,,
4-20-3,プログラムを用いてデータを活用するにはデータをどのような形式で保持すれば良いですか,機械判読が可能な形式にする,記述,機会判読が可能な形式.,正解 : 7,,,
4-20-4,データを活用するためには基本的な統計量を求める以外にどのような方法が用いられますか,データを可視化して問題発見や問題解決を行う,記述,データの可視化による問題発見や解決.,正解 : 7,,,
4-20-5,施設一覧や予算などの表形式になっている情報を活用しやすいファイル形式は何ですか,Excel形式やCSV形式,表,表形式,不十分 : 3,,,
4-21-1,リレーショナルデータベースではどのようにデータを管理していますか,表形式で表現されたテーブルというデータの集合で管理されている,記述,表形式で表現されたテーブルというデータの集合.,正解 : 7,,,
