発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (wz2RkPLpuz8v5zI0) の解答,評価,,,
4-19-1,家庭内でLANに接続している機器にはどのようなものがありますか,プリンターやパソコン、スマートフォンがLANに接続している,図,パソコン、スマホなどの情報機器や電話、電子レンジ等の様々な機器,欠如 : 5,,,
4-19-2,家庭内のLANに対し、外部からの不正な侵入を防ぐにはどのようなことを考慮すれば良いですか,SSIDを公開しないこと、暗号化キーをわかりにくいものにすること、暗号化方式を容易に解読されないものにしなければならない,記述,IEEE802.11の規格や暗号方式、SSIDの設定などの様々な設定,不十分 : 3,,,
4-19-3,LANにおいてはどのようなトラブルが生じますか,インターネットに接続できない、無線LANのアクセスポイントに接続できない、電子メールを送信できない、必要なアプリケーシ ョンをダウンロードできない、家庭内のHDDやサーバに接続できない、家庭内のネットワークプリンタに出力できない ,箇条書き,インターネットに接続できない、電子メールが接続できない等のトラブル,欠如 : 5,,,
4-19-4,プリンタがネットワークに接続されていない場合は何を点検すれば良いですか,プリンタのLANポートにケーブルが接続されているか、無線LANなら適切なアクセスポイントに接続されているかを点検する,記述,プリンタのLANポートにケーブルが接続されていること、また無線LANの場合は適切なアクセスポイントに接続されているか点検すればよい,正解 : 7,,,
4-19-5,PCから接続されているプリンタを調べるときはどうすれば良いですか,プリンタドライバからLAN上のプリンタの状況を調べる,記述,使用しているPCからプリンタへ出力を行ってみる,無関係 : 2,,,
4-20-1,近年の情報システムはどのようなことを重視していますか,蓄積された膨大なビッグデータを課題解決に活用することが重視されている,記述,情報システムにより蓄積されたビッグデータを課題解決に活用すること,正解 : 7,,,
4-20-2,オープンデータの定義とは何ですか,営利目的、非営利目的問わずに二次利用可能なルールが適応されたもの、機械判読に適したもの、無料で利用できるものが定義で ある ,箇条書き,営利目的、非営利目的を問わず二次利用可能なルールが適応されているもの。また、機械判読に適しており無償で利用で利用できるもの,異なる修飾 : 6,,,
4-20-3,プログラムを用いてデータを活用するにはデータをどのような形式で保持すれば良いですか,機械判読が可能な形式にする,記述,機械判読が可能な形式,正解 : 7,,,
4-20-4,データを活用するためには基本的な統計量を求める以外にどのような方法が用いられますか,データを可視化して問題発見や問題解決を行う,記述,相関分析や回帰分析などを通して問題の発見や解説に用いられる,異なる修飾 : 6,,,
4-20-5,施設一覧や予算などの表形式になっている情報を活用しやすいファイル形式は何ですか,Excel形式やCSV形式,表,Excel形式やCSV形式など,正解 : 7,,,
