発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (ka7qxppbFs3hVQ3E) の解答,評価,,,
1-1-1,データと情報の違いは何ですか,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,記述,一般的なデータはただの「数字」「記号」に過ぎず、事実の集積であるが、情報はデータに乗っている「数字」「記号」から部分的に収集、加工したものである。,不十分 : 3,,,
1-1-2,情報の特性はどのようなものが挙げられますか,情報の特性は形がない、消えない、複製できる、容易に伝播することである,記述,次に何をすればよいのかの検討材料になるもの,無関係 : 2,,,
1-1-3,問題解決における問題とは何ですか,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,記述,理想と現実の間にあるギャップ,不十分 : 3,,,
1-1-4,アイデアを生み出す手法であるブレーンストーミングのルールはどのようなものが挙げられますか,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,表,批判しない、質より量、自由に発言する,欠如 : 5,,,
1-1-5,アイデアを整理する手法はどのようなものがありますか,アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ,図,KJ法、アイデアをグループ化して整理する方法,不十分 : 3,,,
1-2-1,サイバー犯罪にはどのような区分がありますか,コンピュータやサービスなどに他人のIDやパスワードを使ってアクセスする不正アクセス、ホームページや取引記録などを不正に 書き換えるコンピュータ・電磁的記録対象犯罪、SNSや掲示板などを用いて犯罪行為を行うネットワーク利用犯罪がある ,図,コンピューター・電磁的記録対象犯罪、コンピューターネットワーク利用犯罪。不正アクセス禁止法違反,異なる修飾 : 6,,,
1-2-2,サイバー犯罪の特徴は何ですか,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,箇条書き,匿名性が高く、相手と顔を合わせることがなく筆跡や指紋等の物理的痕跡も残らない。証拠が残りにくい。,不十分 : 3,,,
1-2-3,情報システムに情報セキュリティの3要素を組み込む場合、どのようなことを考慮すれば良いですか,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,記述,例えばIDやパスワードにおいて、「名前や生年月日など簡単な設定にしないこと」「データの利用者を適切にコントロールされているか」「システムがダウンしても復旧が早く行うことができるのか」などに考慮する必要がある,無関係 : 2,,,
1-2-4,情報セキュリティには機密性、完全性、可用性のほかにどのような要素がありますか,アクセスしている個人が正しく特定できることである真正性、意図したことが確実に実行できる信頼性、いつどこで誰がどのよう な操作を行なったか追跡できる責任追跡性、情報が後に否定されないことを証明する否認防止がある ,図,真正性、信頼性、責任追跡性、否認防止,異なる修飾 : 6,,,
1-2-5,マルウェアとは何ですか,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,記述,悪意のあるソフトウェアすべてのこと,異なる修飾 : 6,,,
1-3-1,情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権 についてよく理解した上で活用するようにしなければならない ,記述,本人の許可を得てその作品をアップロードしているのか、また許可を得ているのであれば、文書の場合一言一句間違いの内容に引用できているのか,不十分 : 3,,,
1-3-2,産業財産権にはどのようなものがありますか,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、 商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。 ,図,特許権、実用新案権、意匠権、商標権,異なる修飾 : 6,,,
1-3-3,個人情報とは何ですか,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができ るもの、あるいは個人識別符号が含まれるもの ,記述,生存する個人に関する情報で当該情報に含まれる氏名、生年月日その他の記述によって特定の個人を識別できるもの,不十分 : 3,,,
1-3-4,我々は個人情報を持つ企業や行政に対しどのような権利を保証されていますか,個人情報を持つ企業や行政に対し、開示、訂正、利用停止等を求めることができる,記述,個人情報を持つ企業や行政に対して開示、訂正、利用停止等を求めることができる権利を持っている。,正解 : 7,,,
1-3-5,個人識別符号とは具体的にどのようなものですか,生体情報を変換した符号であるDNA、顔、虹彩などや、公的な番号であるパスポート番号、マイナンバーなどである ,図,指紋や静脈などの身体の特徴データやパスポートや運転免許証の番号など公的な番号のこと,異なる修飾 : 6,,,
1-4-1,スマートフォンやSNSの普及によって利便性が向上した反面、どのようなことが問題となっていますか,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,記述,情報格差、健康への影響、いじめや犯罪に巻き込まれるなどの問題,正解 : 7,,,
1-4-2,10代と60代の情報源はどのように異なりますか,10代はSNSや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,記述,10代は多くがSNSから情報を収集しているがニュースサイトを閲覧していて新聞やテレビを情報源としている,不十分 : 3,,,
1-4-3,高校生のインターネット利用目的はどのようなものが挙げられますか,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,記述,コミュニケーション、動画視聴、音楽視聴,欠如 : 5,,,
1-4-4,情報機器の普及による健康被害にはどのようなものがありますか,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,記述,目が疲れたり肩が凝ったりろいう身体的な症状や角に情報機器に依存してしまう不安症などという健康被害を生じさせることがある,正解 : 7,,,
1-4-5,情報社会には光と影の面がありますが、どのようにして影の面をなくせば良いですか,問題解決の考え方を適応し、問題点を明確に、具体的な理想を明らかにして分析を進め、情報や情報技術を活用しながら知恵や思 考力をもって影の面をなくす ,記述,問題点を明確にして具体的な理想を明らかにして分析を進めるとともに情報や情報技術を効果的に利用しながら知恵や思考力をもって解決していかなければならない。,正解 : 7,,,
1-5-1,電子マネーとは何ですか,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,記述,電子的なデータのやりとりによち現金の代わりに決済できるサービスを指す,異なる修飾 : 6,,,
1-5-2,キャッシュレス化が進む中国や韓国ではどのような決済方法が利用されていますか,店舗が用意したQRコードを読み込む、もしくはスマートフォンでQRコードを表示して店員が読み取るQRコード決済が利用されて いる ,記述,QRコード決済,異なる修飾 : 6,,,
1-5-3,完全セルフレジのメリットとデメリットは何ですか,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を 諦めてしまうデメリットがある ,記述,メリットは複数のレジを一人のスタッフで対応できるため人件費を抑えることができる、デメリットはバーコードがついていない商品を扱うことができないということ,不十分 : 3,,,
1-5-4,近年注目されている深層学習はどのような特徴がありますか,多くのデータを読み込ませることで機械が自動的に学んでいくことが可能という特徴を持つ,記述,AIに多くのデータを読み込ませることで機械が自動的に学んでいくことが可能であるということ,正解 : 7,,,
1-5-5,バリアフリーとユニバーサルデザインはどう違いますか,バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高 齢者問わず、全ての人が生活しやすい環境を実現する考えである ,記述,バリアフリーは障碍者・高齢者などに配慮されて策定しているが、ユニバーサルデザインは個人差や国籍の違いなどに配慮しており、すべての人が対象されている,不十分 : 3,,,
2-6-1,アナログデータとデジタルデータの違いは何ですか,温度や時間などの連続的に変化する量をアナログデータといい、連続する量を一定間隔ごとに区切り、数値を用いて現したものを デジタルデータという ,記述,アナログデータは「音や映像そのモノを記録したもの」デジタルデータは「実際の音や映像そのものではない数値を記録したもの、情報の記録である」,不十分 : 3,,,
