発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (9oRn9DLzQAcs7KDi) の解答,評価,,,
1-1-1,データと情報の違いは何ですか,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,記述,人が意味や価値を理解できるものが情報、そうでないものがデータ,不十分 : 3,,,
1-1-2,情報の特性はどのようなものが挙げられますか,情報の特性は形がない、消えない、複製できる、容易に伝播することである,記述,①形がない②消えない③簡単に複製できる④容易に伝播する,正解 : 7,,,
1-1-3,問題解決における問題とは何ですか,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,記述,ゴール（理想の姿）の設定を自ら行い、それまでの手段を検討する事,無関係 : 2,,,
1-1-4,アイデアを生み出す手法であるブレーンストーミングのルールはどのようなものが挙げられますか,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,表,①アイデア量を置く出す②制約を無くして寛容的に行う③他者の意見に乗りさらに広げる④批判をしない,欠如 : 5,,,
1-1-5,アイデアを整理する手法はどのようなものがありますか,アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ,図,KJ法・ロジックツリー・コンセプトマップ,異なる修飾 : 6,,,
1-2-1,サイバー犯罪にはどのような区分がありますか,コンピュータやサービスなどに他人のIDやパスワードを使ってアクセスする不正アクセス、ホームページや取引記録などを不正に 書き換えるコンピュータ・電磁的記録対象犯罪、SNSや掲示板などを用いて犯罪行為を行うネットワーク利用犯罪がある ,図,①不正アクセス禁止法違反②コンピュータ・電磁的記録対象犯罪等③ネットワーク利用犯罪,異なる修飾 : 6,,,
1-2-2,サイバー犯罪の特徴は何ですか,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,箇条書き,①匿名性が高い②痕跡が残りにくい③不特定多数が被害を受ける④時間と空間の制約がない,正解 : 7,,,
1-2-3,情報システムに情報セキュリティの3要素を組み込む場合、どのようなことを考慮すれば良いですか,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,記述,導入コストや運用コストを考慮して３要素の重要度を格付けする必要がある,不十分 : 3,,,
1-2-4,情報セキュリティには機密性、完全性、可用性のほかにどのような要素がありますか,アクセスしている個人が正しく特定できることである真正性、意図したことが確実に実行できる信頼性、いつどこで誰がどのよう な操作を行なったか追跡できる責任追跡性、情報が後に否定されないことを証明する否認防止がある ,図,真正性・責任追跡性・信頼性・否認防止,異なる修飾 : 6,,,
1-2-5,マルウェアとは何ですか,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,記述,コンピュータに入り込んで不正行為を行う悪意のあるプログラムの事,正解 : 7,,,
1-3-1,情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権 についてよく理解した上で活用するようにしなければならない ,記述,著作物を容易に利用・複製できるようになることで、気づかない内に著作権を侵害してしまう事に注意する,不十分 : 3,,,
1-3-2,産業財産権にはどのようなものがありますか,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、 商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。 ,図,特許権・商標権・実用新案権・意匠権,異なる修飾 : 6,,,
