発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Hdq1vGvfnK2dGgoL) の解答,評価,,,
1-1-1,データと情報の違いは何ですか,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,記述,事象や現象を数字や文字などで記号化したものがデータであり、意味や価値が付加されたデータやメッセージを情報という。,正解 : 7,,,
1-1-2,情報の特性はどのようなものが挙げられますか,情報の特性は形がない、消えない、複製できる、容易に伝播することである,記述,情報の代表的な特性として、形がない、消えない、簡単に複製できる、容易に伝播する、といったことが挙げられる。,正解 : 7,,,
1-1-3,問題解決における問題とは何ですか,問題とはあるべき理想の姿と現実とのギャップのことである。また、解決や解消を必要とする状況そのものを指すこともある。,記述,問題という用語は「あるべき理想の姿と現実とのギャップ」や「解決や解消を必要とする状況」などという意味で良く用いられる。,正解 : 7,,,
1-1-4,アイデアを生み出す手法であるブレーンストーミングのルールはどのようなものが挙げられますか,ブレーンストーミングのルールは質より量、制約を設けない、便乗の推奨、批判の禁止である,表,ブレインストーミングには、質より量、制約を設けない、便乗の奨励、批判の禁止、という4つのルールがある。,正解 : 7,,,
1-1-5,アイデアを整理する手法はどのようなものがありますか,アイデアの近さやまとまりを可視化するKJ法や、一定のルールに基づいて構造的にアイデアを表すものがロジックツリーやコンセ プトマップがある ,図,KJ法やロジックツリー、コンセプトマップなどが挙げられる。,異なる修飾 : 6,,,
1-2-1,サイバー犯罪にはどのような区分がありますか,コンピュータやサービスなどに他人のIDやパスワードを使ってアクセスする不正アクセス、ホームページや取引記録などを不正に 書き換えるコンピュータ・電磁的記録対象犯罪、SNSや掲示板などを用いて犯罪行為を行うネットワーク利用犯罪がある ,図,サイバー犯罪は「不正アクセス禁止法違反」、「コンピュータ・電磁的記録対象犯罪等」、「ネットワーク利用犯罪」の３つの類型に区別されている。,異なる修飾 : 6,,,
1-2-2,サイバー犯罪の特徴は何ですか,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,箇条書き,ネットワークを利用したサイバー犯罪には「匿名性が高い」、「痕跡が残りにくい」、「不特定多数が被害を受ける」、「時間と空間の制約がない」という4つの特徴がある。,正解 : 7,,,
1-2-3,情報システムに情報セキュリティの3要素を組み込む場合、どのようなことを考慮すれば良いですか,情報システムごとに導入コストや運用コストのトレードオフを考慮する必要がある,記述,導入コストや運用コストなどとのトレードオフも考慮しながら、情報システム毎に３要素の重要度を検討する必要がある。,正解 : 7,,,
1-2-4,情報セキュリティには機密性、完全性、可用性のほかにどのような要素がありますか,アクセスしている個人が正しく特定できることである真正性、意図したことが確実に実行できる信頼性、いつどこで誰がどのよう な操作を行なったか追跡できる責任追跡性、情報が後に否定されないことを証明する否認防止がある ,図,他には真正性、責任追跡性、信頼性、否認防止がある。,異なる修飾 : 6,,,
1-2-5,マルウェアとは何ですか,コンピュータに入り込んで不正行為を行う悪意のあるプログラムのことである,記述,コンピュータに入りこんで不正行為を行う悪意のあるプログラムのこと。,正解 : 7,,,
1-3-1,情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権 についてよく理解した上で活用するようにしなければならない ,記述,著作物を手軽に利用できるようになったからこそ、知らぬ間に著作権を侵害してしまうことのないように、著作権についてよく理解した上で、著作物を守り活用していく姿勢が求められる。,異なる修飾 : 6,,,
1-3-2,産業財産権にはどのようなものがありますか,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、 商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。 ,図,特許権、実用新案権、意匠権、商標権がある。,異なる修飾 : 6,,,
1-3-3,個人情報とは何ですか,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができ るもの、あるいは個人識別符号が含まれるもの ,記述,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述などによって特定の個人を識別できるもの（他の情報と容易に照合することができ、それによって特定の個人を識別することができることとなるものを含む。）、または個人識別符号が含まれるもの。,正解 : 7,,,
