発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Rk3lE6IFtYzU7fW1) の解答,評価,,,
2-7-1,コミュニケーションにはどのような種類がありますか,個人同士で情報をやり取りする対人コミュニケーション、限られた集団でやりとりする集団コミュニケーション、不特定多数でや り取りするマスコミュニケーションがある ,記述,対人コミュニケーション・集団コミュニケーション・マスコミュニケーション,異なる修飾 : 6,,,
2-7-2,コミュニケーションを行う上でコード体系とは何ですか,コード体系とは学校や家庭、特定のコミュニティの中での学習によって社会的に共有されているもので、言語、視覚言語、非言語 の分類がある ,記述,言語・視覚言語・非言語に分類された共通の記号体系,異なる修飾 : 6,,,
2-7-3,情報のデザインにおいてはどのようなことが重要となりますか,情報のデザインは足し算によって必要な要件を満たした後、引き算によってシンプルにすることが大切である,記述,デザインの足し算によって必要な条件を満たした後に、引き算によってシンプルな構造にすること,正解 : 7,,,
2-7-4,画面内に要素を配置する際のデザインの原則にはどのようなものがありますか,同じまとまりの情報は近づけて、違う要素は離す近接と、要素を揃える整列、見出しやフォーマットを揃える反復、要素ごとの大 小や強弱を明確にする対比がある ,図,近接・整列・反復・対比/強弱,異なる修飾 : 6,,,
2-7-5,コミュニケーションにおけるメタファーの役割は何ですか,メタファーとは違う分野の言葉を喩えに使って表現する方法であり、特に目には見えないものを伝える際には効果的である,記述,よくわからない物事を、すでに知っている似たことに例えること,不十分 : 3,,,
2-8-1,メディアとは何ですか,メディアとは情報を表現する形式のことであり、情報の伝達や記録のために用いられ、媒体としての役割がある,記述,情報を表現する形式のこと。,不十分 : 3,,,
2-8-2,近年のコミュニケーションではどのようなことが可能となりましたか,情報機器の登場により、様々なデータが大量に通信できるようになり、双方向でのコミュニケーションが可能となった,記述,様々なデータが大量に通信できるようになったことで、双方向でのコミュニケーションが可能になった。,不十分 : 3,,,
2-8-3,フィルターバブルとはどのような現象ですか,利用者の嗜好や行動特性に合わせた情報だけが選別され、インターネット上での観測範囲が狭くなる現象,記述,一部の人にとってはわかりやすい表現でも、その他の人にはわかりづらくなってしまう現象。,無関係 : 2,,,
2-8-4,情報が溢れる現代社会において情報を活用するためにどのような能力が必要ですか,現代では情報に振り回されず、情報を取捨選択し整理する能力が必要である。,記述,情報に振り回されず、情報を活用していくために必要な情報を取捨選択し、整理する能力,正解 : 7,,,
2-8-5,画像処理ソフトには大きく分けてどのような種類がありますか,円や長方形などの図形を一つのオブジェクトとして扱うベクタ系と画像を小さな点で描画するラスタ系がある,記述,ベクタ系とラスタ系,異なる修飾 : 6,,,
2-9-1,デザインにはどのような意味が込められていますか,デザインには計画と達成される目的が込められている,記述,そこに込められた「計画」とそれによって達成される「目的」が込められている。,正解 : 7,,,
2-9-2,モダンデザインとは何ですか,モダンデザインとは装飾によるデザインではなく、製品が持つ本質的な機能美を追求した合理的・機能的なデザインのこと,記述,20世紀のドイツで生み出された、製品が持つ本質的な機能美を追求することで、その製品の合理的かつ機能的なデザインにすること。,不十分 : 3,,,
2-9-3,インフォグラフィックスとは具体的にどんなものですか,インフォグラフィックスとは例えば地域ごとの降水量の情報を傘のイラストの大きさを用いて表した図のようなものである,図,効果的な問題解決のために、目的や意図をもった情報を受けてに対してわかりやすく伝達するデザイン。,無関係 : 2,,,
2-9-4,適切なシグニファイアがデザインされたインタフェースはなぜ重要ですか,適切なシグニファイアがデザインされたインタフェースは、利用者のユーザーエクスペリエンスの向上をもたらすため、重要であ る ,記述,利用者が得られる体験の向上をもたらすため。,正解 : 7,,,
2-9-5,人間中心設計はどのようなプロセスでデザインされますか,利用者のニーズを把握し、そのニーズに基づいてデザインを行い、利用者の評価を受けてニーズを完全に満たすまで評価と改善を 繰り返す ,記述,利用者のニーズに基づいたデザインを行い、利用者の評価を受けて改善していくプロセス。,不十分 : 3,,,
2-10-1,デザインの発想方法にはどのような種類がありますか,発散技法、収束技法、統合技法、態度技法がある,表,発散技法、収束技法、統合技法、態度技法,正解 : 7,,,
2-10-2,デザインのために収集される情報には大きく分けてどのようなものがありますか,結果が数値で得られ比較しやすい定量的な情報と、文字情報で得られ新たな気づきや詳細な状況が探れる定性的な情報がある,記述,定量的な情報・定性的な情報,異なる修飾 : 6,,,
2-10-3,ペルソナ手法とは何ですか,ペルソナ手法とはデザインされた情報の利用者の人物像を設定し、その人物に向けて何が必要かを検討して要件を定義する手法,記述,利用者の人物像を設定し、その人物に向けて、何が必要かを検討していく手法。,不十分 : 3,,,
2-10-4,プロトタイプはどのようなものを作成すれば良いですか,プロトタイプはデザインの可能性を追求するため、時間をかけて作成するのではなく、簡単にできるものを多数用意する,記述,簡単に作成できるものを複数作成する。,異なる修飾 : 6,,,
2-10-5,情報デザインの評価(インタビューやアンケート)ではどのような工夫をすれば良いですか,インタビューでは回答者が多様な回答ができるオープンクエスチョンとすることやアンケートでは自由に記述された内容に注目す るなど、新たな知見が得られるようにする ,記述,クローズドクエスチョンではなく、オープンクエスチョンで行う。,不十分 : 3,,,
3-11-1,コンピュータではどのような機器から情報を入力し、どのような機器から情報が出力されますか,キーボードやマウス、タブレットから情報を入力し、パソコンが内部で計算を行い、ディスプレイやプリンターから情報が出力さ れる ,図,キーボードなどの装置から情報を入力し、ディスプレイなどの装置から情報を出力する。,異なる修飾 : 6,,,
3-11-2,コンピュータの内部はどのようなもので構成されていますか,コンピュータは制御装置、演算装置、記憶装置、入力装置、出力装置で構成されている,記述,制御装置・演算装置・記憶装置・入力装置・出力装置,正解 : 7,,,
3-11-3,ハードディスクの代わりにSSD (Solid State Drive) を用いると、コンピュータはどのように変化しますか,データの読み書きが速くなり、コンピュータの処理速度が向上する,記述,データの読み書きが早くなることで、コンピュータの実質的な動作速度を上げることができる。,正解 : 7,,,
3-11-4,論理演算における基本的な演算とは何ですか,AND、OR、NOTの3つが基本的な演算である,記述,AND・OR・NOT,正解 : 7,,,
3-11-5,コンピュータの計算誤差は例えばどのような状況で発生しますか,例えば20ビットの情報を15ビットの箱に入れると、5ビット分の情報が失われて計算誤差となる,図,15ビットの箱を準備した時、13ビットのデータAは箱に収まるが、20ビットのデータBは収まらず、5ビットの誤差が生じる場合など。,異なる修飾 : 6,,,
3-12-1,コンピュータによる計測とはどのようなことを指しますか,コンピュータによる計測とは、センサなどの装置を使って自然現象などの量を測ることである。,記述,センサなどの装置を使って自然現象などの量を測ること。,正解 : 7,,,
