ラベル,評価,説明,ラベル,,,,,
番号,発問,模範解答,タイプ,解答者 (TeJkO5WFbv8agyus) の解答,評価,,,
2-7-1,コミュニケーションにはどのような種類がありますか,個人同士で情報をやり取りする対人コミュニケーション、限られた集団でやりとりする集団コミュニケーション、不特定多数でや り取りするマスコミュニケーションがある ,記述,対人コミュニケーション、集団コミュニケーション、マスコミュニケーション,異なる修飾 : 6,,,
2-7-2,コミュニケーションを行う上でコード体系とは何ですか,コード体系とは学校や家庭、特定のコミュニティの中での学習によって社会的に共有されているもので、言語、視覚言語、非言語 の分類がある ,記述,送り手がもつコンテクストを解読するために共有される言語、視覚言語、非言語,異なる修飾 : 6,,,
2-7-3,情報のデザインにおいてはどのようなことが重要となりますか,情報のデザインは足し算によって必要な要件を満たした後、引き算によってシンプルにすることが大切である,記述,物事の関係性を図解で 表現すること、数値データの比較のためにグラフを使うこと、論理構造を整えて文章を書くこと,矛盾 : 4,,,
2-7-4,画面内に要素を配置する際のデザインの原則にはどのようなものがありますか,同じまとまりの情報は近づけて、違う要素は離す近接と、要素を揃える整列、見出しやフォーマットを揃える反復、要素ごとの大 小や強弱を明確にする対比がある ,図,近接、整列、反復、対比/強弱,異なる修飾 : 6,,,
2-7-5,コミュニケーションにおけるメタファーの役割は何ですか,メタファーとは違う分野の言葉を喩えに使って表現する方法であり、特に目には見えないものを伝える際には効果的である,記述,よくわからない未知のことを既に知っている似たことに重ね合わせることで未知のものの意味を推し量る役割,正解 : 7,,,
2-8-1,メディアとは何ですか,メディアとは情報を表現する形式のことであり、情報の伝達や記録のために用いられ、媒体としての役割がある,記述,コンテンツを伝えるために媒介するものやコンテンツを表現する形式のこと,不十分 : 3,,,
2-8-2,近年のコミュニケーションではどのようなことが可能となりましたか,情報機器の登場により、様々なデータが大量に通信できるようになり、双方向でのコミュニケーションが可能となった,記述,情報機器の登場による大量のデータ通信、双方向のコミュニケーション,異なる修飾 : 6,,,
2-8-3,フィルターバブルとはどのような現象ですか,利用者の嗜好や行動特性に合わせた情報だけが選別され、インターネット上での観測範囲が狭くなる現象,記述,利用者の思想や行動特性に合わせた情報だけが選別されて表示され、インターネット上の観測範囲が狭くなる現象,正解 : 7,,,
2-8-4,情報が溢れる現代社会において情報を活用するためにどのような能力が必要ですか,現代では情報に振り回されず、情報を取捨選択し整理する能力が必要である。,記述,情報に振り回されず、情報を活用していくために必 要な情報を取捨選択し、整理する能力,正解 : 7,,,
2-8-5,画像処理ソフトには大きく分けてどのような種類がありますか,円や長方形などの図形を一つのオブジェクトとして扱うベクタ系と画像を小さな点で描画するラスタ系がある,記述,ベクタ系、ラスタ系,異なる修飾 : 6,,,
2-9-1,デザインにはどのような意味が込められていますか,デザインには計画と達成される目的が込められている,記述,計画を記号で表すという意味,不十分 : 3,,,
2-9-2,モダンデザインとは何ですか,モダンデザインとは装飾によるデザインではなく、製品が持つ本質的な機能美を追求した合理的・機能的なデザインのこと,記述,工業製品が持つ本質的な機能美を追求することで、合理的、機能的なデザインを指向し、良質な製品を社会のあらゆる階層の人々に行き渡らせようとしたもの,不十分 : 3,,,
2-9-3,インフォグラフィックスとは具体的にどんなものですか,インフォグラフィックスとは例えば地域ごとの降水量の情報を傘のイラストの大きさを用いて表した図のようなものである,図,天気予報の雨マーク,異なる修飾 : 6,,,
2-9-4,適切なシグニファイアがデザインされたインタフェースはなぜ重要ですか,適切なシグニファイアがデザインされたインタフェースは、利用者のユーザーエクスペリエンスの向上をもたらすため、重要であ る ,記述,利用者が得られるユーザーエクスペリエンスの向上をもたらすため,正解 : 7,,,
2-9-5,人間中心設計はどのようなプロセスでデザインされますか,利用者のニーズを把握し、そのニーズに基づいてデザインを行い、利用者の評価を受けてニーズを完全に満たすまで評価と改善を 繰り返す ,記述,利用者の ニ ーズを把握し、そのニーズに基づいた デザインを行い、利用者の評価を受けて 改善を行うことを利用者のニーズを完全に満たすまで繰り返すプロセス,正解 : 7,,,
2-10-1,デザインの発想方法にはどのような種類がありますか,発散技法、収束技法、統合技法、態度技法がある,表,ブレインストーミング、KJ法、ブレーンライティング,矛盾 : 4,,,
2-10-2,デザインのために収集される情報には大きく分けてどのようなものがありますか,結果が数値で得られ比較しやすい定量的な情報と、文字情報で得られ新たな気づきや詳細な状況が探れる定性的な情報がある,記述,定量的な情報、定性的な情報,異なる修飾 : 6,,,
2-10-3,ペルソナ手法とは何ですか,ペルソナ手法とはデザインされた情報の利用者の人物像を設定し、その人物に向けて何が必要かを検討して要件を定義する手法,記述,デザインされた情報の利用者の人物像を設定し、その人物が何を必要としているかを検討していく手法,不十分 : 3,,,
2-10-4,プロトタイプはどのようなものを作成すれば良いですか,プロトタイプはデザインの可能性を追求するため、時間をかけて作成するのではなく、簡単にできるものを多数用意する,記述,時間をかけずに簡単に作成できるものを多数作成する,異なる修飾 : 6,,,
2-10-5,情報デザインの評価(インタビューやアンケート)ではどのような工夫をすれば良いですか,インタビューでは回答者が多様な回答ができるオープンクエスチョンとすることやアンケートでは自由に記述された内容に注目す るなど、新たな知見が得られるようにする ,記述,インタビューの場合は回答者が多様な回答ができるオープンクエスチョンで行い、アンケートの場合は自由意見に記入された内容に注目する,不十分 : 3,,,
3-11-1,コンピュータではどのような機器から情報を入力し、どのような機器から情報が出力されますか,キーボードやマウス、タブレットから情報を入力し、パソコンが内部で計算を行い、ディスプレイやプリンターから情報が出力さ れる ,図,キーボード、タブレット、マウスから情報を入力し、ディスプレイ、プリンターから情報が出力される,異なる修飾 : 6,,,
3-11-2,コンピュータの内部はどのようなもので構成されていますか,コンピュータは制御装置、演算装置、記憶装置、入力装置、出力装置で構成されている,記述,入力装置、記憶装置、制御装置、演算装置、出力装置,正解 : 7,,,
3-11-3,ハードディスクの代わりにSSD (Solid State Drive) を用いると、コンピュータはどのように変化しますか,データの読み書きが速くなり、コンピュータの処理速度が向上する,記述,コンピュータの実質的な動作速度が上がる,異なる修飾 : 6,,,
3-11-4,論理演算における基本的な演算とは何ですか,AND、OR、NOTの3つが基本的な演算である,記述,AND演算、OR演算、NOT演算,正解 : 7,,,
3-11-5,コンピュータの計算誤差は例えばどのような状況で発生しますか,例えば20ビットの情報を15ビットの箱に入れると、5ビット分の情報が失われて計算誤差となる,図,15ビットの箱を用意しているコンピュータに20ビットのデータが入力されたとき,異なる修飾 : 6,,,
3-12-1,コンピュータによる計測とはどのようなことを指しますか,コンピュータによる計測とは、センサなどの装置を使って自然現象などの量を測ることである。,記述,センサなどの外部装置から得た計測データを入力ポートを経由してコンピュータに入力すること,異なる修飾 : 6,,,
3-12-2,アナログ型のセンサやアクチュエータをコンピュータ計測制御システムで用いるときには何が必要になりますか,入力前にアナログデータをデジタルデータに変換するADコンバータと、出力前にデジタルデータをアナログデータに変換するDA コンバータが必要である ,図,ADコンバータとDAコンバータ,異なる修飾 : 6,,,
3-12-3,アクチュエータとは何ですか,コンピュータが制御した情報を物理的に外部へ伝える装置のことである,記述,コンピュータが制御した情報を物理的に伝える装置,不十分 : 3,,,
3-12-4,我々の生活に身近なアクチュエータはどのような例が挙げられますか,ブラシレスDCモーター、油圧シリンダ、空気圧シリンダがある,表,ブラシレスDCモーター、油圧シリンダ、空気圧シリンダ,正解 : 7,,,
3-12-5,我々の生活に身近なセンサにはどのような例があげられますか,温度センサ、煙センサ、赤外線センサ、超音波センサ、レーザー、レーダー等のセンサ、加速度センサがある,表,温度センサ、湿度センサ、赤外線センサ、加速度センサ,欠如 : 5,,,
